OrderID,CustomerName,Email,OrderDate,Geometric Hoops,Minimalist Studs,Boho Dangles,Pearl Drops,Silver Threaders,TotalOrderValue
0722,Customer 292,customer292@example.com,2020-03-16,1,0,0,0,3,43
0654,Customer 51,customer51@example.com,2020-03-19,0,1,2,3,1,88
0018,Customer 77,customer77@example.com,2020-03-20,2,3,0,3,1,100
0246,Customer 175,customer175@example.com,2020-03-22,2,2,3,3,1,128
0506,Customer 209,customer209@example.com,2020-03-22,3,0,2,2,3,117
0902,Customer 182,customer182@example.com,2020-03-24,0,3,2,3,0,93
0198,Customer 152,customer152@example.com,2020-03-24,1,0,3,3,3,124
0316,Customer 251,customer251@example.com,2020-03-25,2,0,2,1,0,59
0885,Customer 75,customer75@example.com,2020-03-26,0,2,1,3,3,106
0247,Customer 99,customer99@example.com,2020-03-27,2,0,3,3,3,134
0123,Customer 99,customer99@example.com,2020-03-28,2,1,3,3,1,120
0016,Customer 64,customer64@example.com,2020-04-01,3,0,1,2,1,83
0011,Customer 85,customer85@example.com,2020-04-04,3,3,3,1,3,138
0284,Customer 209,customer209@example.com,2020-04-06,2,2,3,2,2,124
0583,Customer 118,customer118@example.com,2020-04-09,2,0,0,2,1,61
0985,Customer 55,customer55@example.com,2020-04-09,2,2,3,2,2,124
0494,Customer 115,customer115@example.com,2020-04-09,0,1,3,0,1,55
0892,Customer 200,customer200@example.com,2020-04-09,3,0,1,0,2,64
0746,Customer 120,customer120@example.com,2020-04-10,3,2,2,0,1,81
0933,Customer 246,customer246@example.com,2020-04-10,2,0,2,3,2,111
0473,Customer 287,customer287@example.com,2020-04-10,3,1,0,0,2,60
0514,Customer 271,customer271@example.com,2020-04-11,3,0,3,0,3,99
0855,Customer 26,customer26@example.com,2020-04-12,1,2,0,3,2,93
0092,Customer 168,customer168@example.com,2020-04-12,3,1,0,1,1,64
0409,Customer 168,customer168@example.com,2020-04-14,3,2,3,1,3,130
0637,Customer 268,customer268@example.com,2020-04-15,1,0,1,3,3,100
0617,Customer 269,customer269@example.com,2020-04-15,2,0,1,1,3,80
0087,Customer 88,customer88@example.com,2020-04-18,0,1,2,3,1,88
0037,Customer 177,customer177@example.com,2020-04-18,3,2,1,1,2,95
0519,Customer 74,customer74@example.com,2020-04-21,0,3,3,0,3,93
0536,Customer 168,customer168@example.com,2020-04-23,2,1,0,2,0,58
0738,Customer 86,customer86@example.com,2020-04-24,2,2,1,2,0,78
0425,Customer 96,customer96@example.com,2020-04-24,2,0,1,0,0,32
0976,Customer 62,customer62@example.com,2020-04-25,2,0,1,2,3,95
0627,Customer 79,customer79@example.com,2020-04-26,3,1,1,2,2,102
0406,Customer 16,customer16@example.com,2020-04-26,0,1,1,3,0,65
0213,Customer 276,customer276@example.com,2020-04-26,3,2,2,0,3,103
0916,Customer 105,customer105@example.com,2020-04-27,0,0,3,0,2,58
0983,Customer 34,customer34@example.com,2020-04-27,0,1,2,1,0,47
0144,Customer 89,customer89@example.com,2020-04-28,2,3,1,0,1,67
0677,Customer 149,customer149@example.com,2020-04-30,0,2,1,0,2,50
0138,Customer 151,customer151@example.com,2020-05-01,1,0,1,2,1,63
0292,Customer 291,customer291@example.com,2020-05-02,2,3,3,0,1,91
0330,Customer 161,customer161@example.com,2020-05-02,3,0,0,2,3,93
0912,Customer 146,customer146@example.com,2020-05-02,1,2,1,3,2,105
0304,Customer 16,customer16@example.com,2020-05-05,2,1,1,1,3,88
0572,Customer 298,customer298@example.com,2020-05-05,1,3,2,3,0,103
0017,Customer 158,customer158@example.com,2020-05-06,2,2,1,3,3,126
0260,Customer 27,customer27@example.com,2020-05-07,2,2,2,2,0,90
0680,Customer 35,customer35@example.com,2020-05-08,1,2,1,2,3,101
0558,Customer 205,customer205@example.com,2020-05-09,2,1,0,2,3,91
0664,Customer 69,customer69@example.com,2020-05-10,0,2,0,3,0,61
0674,Customer 93,customer93@example.com,2020-05-12,0,3,3,2,3,123
0237,Customer 178,customer178@example.com,2020-05-12,0,0,2,2,2,76
0128,Customer 37,customer37@example.com,2020-05-12,1,0,0,2,0,40
0620,Customer 98,customer98@example.com,2020-05-12,3,0,0,2,0,60
0880,Customer 226,customer226@example.com,2020-05-16,1,0,0,0,2,32
0687,Customer 119,customer119@example.com,2020-05-18,3,2,1,0,1,69
0126,Customer 141,customer141@example.com,2020-05-19,2,0,0,1,3,68
0484,Customer 10,customer10@example.com,2020-05-19,2,3,2,0,3,101
0803,Customer 279,customer279@example.com,2020-05-25,3,1,0,1,1,64
0006,Customer 236,customer236@example.com,2020-05-26,3,1,1,0,0,50
0340,Customer 113,customer113@example.com,2020-05-28,0,0,0,2,0,30
0644,Customer 238,customer238@example.com,2020-05-29,0,0,3,0,2,58
0167,Customer 217,customer217@example.com,2020-05-31,3,3,2,0,1,89
0268,Customer 47,customer47@example.com,2020-06-02,2,1,1,0,0,40
0342,Customer 18,customer18@example.com,2020-06-03,3,0,0,0,1,41
0024,Customer 170,customer170@example.com,2020-06-04,1,0,3,3,3,124
0503,Customer 62,customer62@example.com,2020-06-05,1,3,1,0,0,46
0110,Customer 13,customer13@example.com,2020-06-06,1,3,0,2,2,86
0820,Customer 250,customer250@example.com,2020-06-06,1,1,1,3,1,86
0369,Customer 184,customer184@example.com,2020-06-07,0,2,0,0,3,49
0438,Customer 211,customer211@example.com,2020-06-09,2,2,0,2,0,66
0215,Customer 224,customer224@example.com,2020-06-10,3,2,2,1,2,107
0251,Customer 95,customer95@example.com,2020-06-11,3,2,3,1,1,108
0701,Customer 121,customer121@example.com,2020-06-14,0,2,3,2,1,93
0112,Customer 109,customer109@example.com,2020-06-15,3,2,0,2,0,76
0609,Customer 253,customer253@example.com,2020-06-15,2,3,3,2,0,110
0610,Customer 2,customer2@example.com,2020-06-17,0,2,3,0,1,63
0801,Customer 229,customer229@example.com,2020-06-17,2,2,3,0,2,94
0189,Customer 10,customer10@example.com,2020-06-19,1,1,1,0,1,41
0554,Customer 47,customer47@example.com,2020-06-20,3,2,2,3,0,115
0207,Customer 176,customer176@example.com,2020-06-21,2,3,0,1,0,59
0475,Customer 43,customer43@example.com,2020-06-24,2,0,2,1,2,81
0439,Customer 45,customer45@example.com,2020-06-24,1,3,2,0,3,91
0129,Customer 74,customer74@example.com,2020-06-26,3,3,3,3,0,135
0431,Customer 140,customer140@example.com,2020-06-26,1,0,2,3,1,90
0275,Customer 34,customer34@example.com,2020-06-27,2,1,0,1,3,76
0186,Customer 173,customer173@example.com,2020-06-28,3,1,3,2,0,104
0255,Customer 151,customer151@example.com,2020-06-29,0,1,0,0,0,8
0460,Customer 208,customer208@example.com,2020-06-29,0,0,1,1,0,27
0456,Customer 97,customer97@example.com,2020-06-29,2,0,3,2,3,119
0272,Customer 241,customer241@example.com,2020-06-30,3,2,0,3,3,124
0214,Customer 112,customer112@example.com,2020-07-02,0,1,3,1,3,92
0816,Customer 259,customer259@example.com,2020-07-04,0,2,0,0,2,38
0574,Customer 273,customer273@example.com,2020-07-06,2,0,1,1,0,47
0312,Customer 214,customer214@example.com,2020-07-07,3,1,2,2,1,103
0115,Customer 105,customer105@example.com,2020-07-12,1,3,3,1,1,96
0066,Customer 221,customer221@example.com,2020-07-14,0,0,1,2,3,75
0069,Customer 16,customer16@example.com,2020-07-14,2,0,3,0,3,89
0711,Customer 140,customer140@example.com,2020-07-16,1,3,0,3,2,101
0350,Customer 146,customer146@example.com,2020-07-18,3,3,2,0,0,78
0775,Customer 258,customer258@example.com,2020-07-18,0,0,0,3,2,67
0040,Customer 246,customer246@example.com,2020-07-19,0,0,3,3,2,103
0537,Customer 203,customer203@example.com,2020-07-22,2,0,3,0,2,78
0065,Customer 226,customer226@example.com,2020-07-22,2,1,1,2,1,81
0399,Customer 57,customer57@example.com,2020-07-22,1,3,3,0,0,70
0338,Customer 87,customer87@example.com,2020-07-26,3,1,2,0,3,95
0078,Customer 122,customer122@example.com,2020-07-27,3,3,3,0,0,90
0303,Customer 148,customer148@example.com,2020-07-28,3,0,3,2,0,96
0483,Customer 103,customer103@example.com,2020-07-29,1,1,1,2,1,71
0600,Customer 154,customer154@example.com,2020-07-29,0,2,3,2,0,82
0044,Customer 25,customer25@example.com,2020-07-29,2,3,2,3,1,124
0777,Customer 175,customer175@example.com,2020-07-30,1,1,3,3,2,121
0800,Customer 210,customer210@example.com,2020-08-01,2,1,2,1,1,78
0942,Customer 49,customer49@example.com,2020-08-01,3,2,0,2,0,76
0233,Customer 87,customer87@example.com,2020-08-01,1,1,0,2,2,70
0152,Customer 13,customer13@example.com,2020-08-01,0,0,1,2,1,53
0906,Customer 281,customer281@example.com,2020-08-01,2,2,2,0,3,93
0727,Customer 149,customer149@example.com,2020-08-02,2,0,1,1,2,69
0375,Customer 182,customer182@example.com,2020-08-03,0,2,0,2,3,79
0776,Customer 18,customer18@example.com,2020-08-03,2,2,0,2,0,66
0124,Customer 298,customer298@example.com,2020-08-04,1,3,1,0,3,79
0324,Customer 125,customer125@example.com,2020-08-05,3,0,3,2,3,129
0015,Customer 115,customer115@example.com,2020-08-06,2,1,2,2,0,82
0739,Customer 44,customer44@example.com,2020-08-07,0,0,0,0,2,22
0010,Customer 232,customer232@example.com,2020-08-08,1,0,3,2,3,109
0838,Customer 5,customer5@example.com,2020-08-09,0,0,3,2,1,77
0952,Customer 177,customer177@example.com,2020-08-09,0,0,2,0,0,24
0267,Customer 190,customer190@example.com,2020-08-11,0,1,0,3,1,64
0372,Customer 128,customer128@example.com,2020-08-12,3,3,2,0,2,100
0248,Customer 116,customer116@example.com,2020-08-12,2,2,0,2,0,66
0659,Customer 84,customer84@example.com,2020-08-13,0,1,1,3,0,65
0941,Customer 215,customer215@example.com,2020-08-13,1,3,0,1,3,82
0859,Customer 237,customer237@example.com,2020-08-13,2,0,2,3,0,89
0882,Customer 106,customer106@example.com,2020-08-14,3,2,3,3,1,138
0194,Customer 134,customer134@example.com,2020-08-14,0,3,0,2,3,87
0846,Customer 40,customer40@example.com,2020-08-15,0,0,2,2,3,87
0960,Customer 124,customer124@example.com,2020-08-16,0,2,0,3,0,61
0611,Customer 108,customer108@example.com,2020-08-16,2,3,3,1,2,117
0311,Customer 100,customer100@example.com,2020-08-17,1,2,2,1,3,98
0723,Customer 253,customer253@example.com,2020-08-18,3,3,2,3,2,145
0871,Customer 256,customer256@example.com,2020-08-19,3,2,0,2,1,87
0652,Customer 246,customer246@example.com,2020-08-20,2,3,0,2,3,107
0532,Customer 137,customer137@example.com,2020-08-21,3,2,0,2,1,87
0116,Customer 8,customer8@example.com,2020-08-22,3,1,0,0,1,49
0327,Customer 171,customer171@example.com,2020-08-23,1,2,2,3,3,128
0528,Customer 145,customer145@example.com,2020-08-23,0,1,3,1,1,70
0033,Customer 90,customer90@example.com,2020-08-24,3,0,2,0,0,54
0862,Customer 123,customer123@example.com,2020-08-24,3,1,2,2,2,114
0028,Customer 137,customer137@example.com,2020-08-24,0,2,3,2,1,93
0476,Customer 105,customer105@example.com,2020-08-25,1,0,2,0,2,56
0936,Customer 294,customer294@example.com,2020-08-30,0,2,3,3,3,130
0421,Customer 162,customer162@example.com,2020-08-30,1,1,1,2,1,71
0904,Customer 4,customer4@example.com,2020-08-31,2,0,3,2,2,108
0354,Customer 196,customer196@example.com,2020-09-04,3,3,2,3,0,123
0653,Customer 222,customer222@example.com,2020-09-07,2,0,0,1,2,57
0080,Customer 48,customer48@example.com,2020-09-08,2,3,1,2,3,119
0542,Customer 274,customer274@example.com,2020-09-09,2,0,3,1,2,93
0517,Customer 278,customer278@example.com,2020-09-11,2,3,2,1,1,94
0589,Customer 25,customer25@example.com,2020-09-11,0,3,1,3,1,92
0326,Customer 283,customer283@example.com,2020-09-11,0,3,1,2,2,88
0785,Customer 88,customer88@example.com,2020-09-12,1,3,0,2,0,64
0310,Customer 265,customer265@example.com,2020-09-14,2,2,1,0,2,70
0054,Customer 225,customer225@example.com,2020-09-14,3,1,3,0,0,74
0854,Customer 108,customer108@example.com,2020-09-15,2,1,0,1,3,76
0332,Customer 106,customer106@example.com,2020-09-15,1,2,3,2,3,125
0169,Customer 183,customer183@example.com,2020-09-15,0,0,1,3,1,68
0435,Customer 239,customer239@example.com,2020-09-15,3,0,2,1,3,102
0208,Customer 21,customer21@example.com,2020-09-15,0,1,0,0,1,19
0505,Customer 284,customer284@example.com,2020-09-16,2,3,3,2,0,110
0986,Customer 266,customer266@example.com,2020-09-17,1,3,3,0,3,103
0767,Customer 57,customer57@example.com,2020-09-17,1,2,1,0,1,49
0183,Customer 42,customer42@example.com,2020-09-18,0,1,0,0,1,19
0012,Customer 65,customer65@example.com,2020-09-18,2,0,0,0,0,20
0356,Customer 248,customer248@example.com,2020-09-20,1,1,3,2,1,95
0730,Customer 20,customer20@example.com,2020-09-23,2,1,0,3,0,73
0623,Customer 149,customer149@example.com,2020-09-25,0,0,1,3,0,57
0486,Customer 90,customer90@example.com,2020-09-26,1,1,2,2,3,105
0903,Customer 10,customer10@example.com,2020-09-27,0,3,2,0,0,48
0081,Customer 39,customer39@example.com,2020-09-27,1,3,0,1,1,60
0329,Customer 32,customer32@example.com,2020-09-27,1,1,3,1,0,69
0870,Customer 90,customer90@example.com,2020-09-29,0,3,1,1,1,62
0967,Customer 207,customer207@example.com,2020-09-30,3,3,1,3,0,111
0043,Customer 28,customer28@example.com,2020-10-01,2,1,0,0,3,61
0443,Customer 44,customer44@example.com,2020-10-02,2,3,0,2,3,107
0029,Customer 245,customer245@example.com,2020-10-03,3,0,2,3,1,110
0165,Customer 216,customer216@example.com,2020-10-03,3,0,3,3,0,111
0587,Customer 129,customer129@example.com,2020-10-04,3,0,3,0,1,77
0981,Customer 117,customer117@example.com,2020-10-06,0,0,1,1,0,27
0961,Customer 76,customer76@example.com,2020-10-06,3,3,0,3,1,110
0298,Customer 130,customer130@example.com,2020-10-07,1,1,2,0,2,64
0595,Customer 134,customer134@example.com,2020-10-07,2,1,3,0,3,97
0709,Customer 125,customer125@example.com,2020-10-09,1,3,0,3,0,79
0383,Customer 22,customer22@example.com,2020-10-09,2,3,0,3,1,100
0052,Customer 168,customer168@example.com,2020-10-09,2,2,0,1,3,84
0068,Customer 25,customer25@example.com,2020-10-11,1,1,1,0,2,52
0566,Customer 154,customer154@example.com,2020-10-12,1,1,3,3,2,121
0988,Customer 297,customer297@example.com,2020-10-12,0,1,3,2,1,85
0877,Customer 284,customer284@example.com,2020-10-14,1,3,3,2,2,122
0458,Customer 294,customer294@example.com,2020-10-18,3,1,1,2,3,113
0923,Customer 116,customer116@example.com,2020-10-21,1,0,0,0,3,43
0429,Customer 125,customer125@example.com,2020-10-23,2,3,1,0,0,56
0696,Customer 268,customer268@example.com,2020-10-25,0,0,2,1,3,72
0725,Customer 240,customer240@example.com,2020-10-28,2,3,2,1,3,116
0070,Customer 182,customer182@example.com,2020-11-02,3,1,2,2,2,114
0453,Customer 69,customer69@example.com,2020-11-02,0,3,3,1,0,75
0984,Customer 194,customer194@example.com,2020-11-04,2,0,0,1,1,46
0174,Customer 144,customer144@example.com,2020-11-05,0,3,3,1,0,75
0551,Customer 157,customer157@example.com,2020-11-06,2,0,1,3,2,99
0571,Customer 131,customer131@example.com,2020-11-08,3,0,1,2,3,105
0394,Customer 294,customer294@example.com,2020-11-09,3,3,3,1,2,127
0147,Customer 236,customer236@example.com,2020-11-09,0,2,0,0,2,38
0048,Customer 249,customer249@example.com,2020-11-10,1,3,2,1,3,106
0433,Customer 288,customer288@example.com,2020-11-10,2,1,0,1,1,54
0141,Customer 179,customer179@example.com,2020-11-13,2,0,3,3,2,123
0883,Customer 58,customer58@example.com,2020-11-15,1,3,0,1,1,60
0513,Customer 13,customer13@example.com,2020-11-15,1,2,0,2,2,78
0966,Customer 84,customer84@example.com,2020-11-16,1,0,1,0,3,55
0671,Customer 293,customer293@example.com,2020-11-18,3,2,3,0,2,104
0170,Customer 270,customer270@example.com,2020-11-19,0,1,3,2,3,107
0161,Customer 75,customer75@example.com,2020-11-20,0,0,1,0,1,23
0150,Customer 130,customer130@example.com,2020-11-21,3,3,3,0,0,90
0229,Customer 1,customer1@example.com,2020-11-21,3,0,0,2,0,60
0828,Customer 127,customer127@example.com,2020-11-21,3,1,0,1,0,53
0140,Customer 206,customer206@example.com,2020-11-22,1,1,0,0,0,18
0989,Customer 231,customer231@example.com,2020-11-23,0,1,0,0,3,41
0599,Customer 299,customer299@example.com,2020-11-23,0,3,2,1,3,96
0050,Customer 75,customer75@example.com,2020-11-24,3,3,2,1,3,126
0673,Customer 271,customer271@example.com,2020-11-24,3,2,3,2,1,123
0766,Customer 226,customer226@example.com,2020-11-27,0,2,3,1,1,78
0155,Customer 106,customer106@example.com,2020-11-27,3,1,0,1,2,75
0781,Customer 291,customer291@example.com,2020-11-27,3,2,3,1,0,97
0683,Customer 14,customer14@example.com,2020-11-28,3,3,3,1,1,116
0504,Customer 155,customer155@example.com,2020-11-30,0,0,0,2,3,63
0878,Customer 99,customer99@example.com,2020-12-03,0,1,0,0,1,19
0291,Customer 22,customer22@example.com,2020-12-03,0,0,2,1,1,50
0750,Customer 57,customer57@example.com,2020-12-06,1,2,0,3,0,71
0077,Customer 21,customer21@example.com,2020-12-09,3,2,1,0,3,91
0835,Customer 188,customer188@example.com,2020-12-09,1,1,3,3,2,121
0271,Customer 222,customer222@example.com,2020-12-14,3,2,1,3,1,114
0253,Customer 24,customer24@example.com,2020-12-15,3,2,1,3,2,125
0270,Customer 256,customer256@example.com,2020-12-16,1,3,3,3,3,148
0694,Customer 223,customer223@example.com,2020-12-16,3,2,3,3,0,127
0559,Customer 79,customer79@example.com,2020-12-17,1,3,0,2,0,64
0203,Customer 166,customer166@example.com,2020-12-18,2,0,0,1,1,46
0184,Customer 273,customer273@example.com,2020-12-20,0,1,1,1,3,68
0715,Customer 139,customer139@example.com,2020-12-21,0,2,1,2,0,58
0686,Customer 294,customer294@example.com,2020-12-21,3,1,0,1,2,75
0455,Customer 55,customer55@example.com,2020-12-22,2,0,0,3,2,87
0343,Customer 182,customer182@example.com,2020-12-23,2,2,2,2,1,101
0492,Customer 97,customer97@example.com,2020-12-27,3,0,3,0,1,77
0612,Customer 286,customer286@example.com,2021-01-01,2,1,0,2,3,91
0234,Customer 41,customer41@example.com,2021-01-03,0,2,1,1,1,54
0351,Customer 182,customer182@example.com,2021-01-05,2,2,3,2,3,135
0957,Customer 214,customer214@example.com,2021-01-05,3,2,2,1,1,96
0765,Customer 279,customer279@example.com,2021-01-05,0,1,0,2,0,38
0932,Customer 170,customer170@example.com,2021-01-05,1,3,2,3,1,114
0283,Customer 14,customer14@example.com,2021-01-06,0,0,3,2,3,99
0927,Customer 167,customer167@example.com,2021-01-06,1,0,3,1,2,83
0371,Customer 198,customer198@example.com,2021-01-07,1,2,1,3,3,116
0038,Customer 148,customer148@example.com,2021-01-07,1,2,0,1,2,63
0240,Customer 187,customer187@example.com,2021-01-07,3,3,2,0,0,78
0718,Customer 10,customer10@example.com,2021-01-13,0,1,0,3,2,75
0710,Customer 267,customer267@example.com,2021-01-13,1,2,3,3,0,107
0979,Customer 7,customer7@example.com,2021-01-13,0,2,0,1,0,31
0090,Customer 4,customer4@example.com,2021-01-13,3,2,1,2,3,121
0972,Customer 145,customer145@example.com,2021-01-14,1,2,2,1,2,87
0131,Customer 199,customer199@example.com,2021-01-14,0,0,1,2,3,75
0590,Customer 266,customer266@example.com,2021-01-15,0,2,0,2,1,57
0465,Customer 34,customer34@example.com,2021-01-18,0,2,0,3,0,61
0544,Customer 212,customer212@example.com,2021-01-20,2,2,0,2,2,88
0771,Customer 64,customer64@example.com,2021-01-21,1,3,3,2,3,133
0321,Customer 216,customer216@example.com,2021-01-21,1,0,3,3,2,113
0905,Customer 292,customer292@example.com,2021-01-22,2,0,2,2,2,96
0109,Customer 93,customer93@example.com,2021-01-23,0,0,2,3,1,80
0500,Customer 41,customer41@example.com,2021-01-24,3,2,2,1,0,85
0729,Customer 167,customer167@example.com,2021-01-27,1,3,1,2,2,98
0104,Customer 276,customer276@example.com,2021-01-27,3,0,0,3,2,97
0427,Customer 2,customer2@example.com,2021-01-28,2,3,2,0,0,68
0228,Customer 283,customer283@example.com,2021-01-29,2,1,0,3,1,84
0918,Customer 255,customer255@example.com,2021-01-29,2,1,3,3,2,131
0226,Customer 104,customer104@example.com,2021-01-30,1,1,2,2,3,105
0945,Customer 239,customer239@example.com,2021-01-30,3,1,2,1,3,110
0896,Customer 171,customer171@example.com,2021-01-30,1,1,0,2,0,48
0196,Customer 126,customer126@example.com,2021-01-30,2,3,2,3,0,113
0426,Customer 147,customer147@example.com,2021-01-31,3,3,1,0,3,99
0569,Customer 92,customer92@example.com,2021-01-31,2,2,2,1,0,75
0817,Customer 90,customer90@example.com,2021-02-01,0,2,2,1,2,77
0813,Customer 182,customer182@example.com,2021-02-04,3,0,1,3,2,109
0895,Customer 74,customer74@example.com,2021-02-06,3,3,0,2,3,117
0119,Customer 256,customer256@example.com,2021-02-07,1,1,0,0,2,40
0849,Customer 240,customer240@example.com,2021-02-07,3,3,2,3,1,134
0402,Customer 198,customer198@example.com,2021-02-07,2,1,0,3,1,84
0949,Customer 299,customer299@example.com,2021-02-10,1,0,3,0,1,57
1000,Customer 49,customer49@example.com,2021-02-12,2,2,3,3,2,139
0114,Customer 95,customer95@example.com,2021-02-12,0,1,3,1,0,59
0366,Customer 9,customer9@example.com,2021-02-15,2,3,0,2,2,96
0608,Customer 68,customer68@example.com,2021-02-16,1,0,0,0,0,10
0897,Customer 143,customer143@example.com,2021-02-18,1,3,0,0,3,67
0221,Customer 200,customer200@example.com,2021-02-19,3,0,3,1,2,103
0148,Customer 183,customer183@example.com,2021-02-21,1,0,0,2,0,40
0083,Customer 10,customer10@example.com,2021-02-22,0,3,3,0,1,71
0632,Customer 84,customer84@example.com,2021-02-25,0,2,0,0,3,49
0060,Customer 35,customer35@example.com,2021-02-26,3,0,0,3,0,75
0737,Customer 44,customer44@example.com,2021-02-26,0,1,0,1,1,34
0063,Customer 153,customer153@example.com,2021-02-27,1,2,1,3,2,105
0954,Customer 185,customer185@example.com,2021-03-03,3,2,1,0,3,91
0099,Customer 143,customer143@example.com,2021-03-03,3,1,2,0,0,62
0064,Customer 126,customer126@example.com,2021-03-04,1,3,0,0,2,56
0547,Customer 82,customer82@example.com,2021-03-05,2,2,0,1,1,62
0367,Customer 251,customer251@example.com,2021-03-07,0,2,0,0,2,38
0086,Customer 274,customer274@example.com,2021-03-08,0,3,3,0,0,60
